Column1;Word;Count
61;nya;8114
12;banget;2460
611;bl;2202
62;kali;1710
2288;skil;1455
216;sih;1303
419;deh;1153
127;pas;1036
456;nih;865
327;biar;811
67;bikin;807
735;erti;658
2470;ajar;643
884;gue;626
194;tau;615
368;ap;560
177;top;547
526;halo;543
343;lot;540
686;min;485
178;up;430
1387;alhamdulillah;404
107;live;397
1166;apa;389
671;eh;387
66;aju;382
331;duit;349
222;alas;341
2894;assalamualaikum;334
709;cuman;325
612;n;312
4027;hai;291
452;ribu;288
1238;alam;280
1184;gua;277
2338;wawas;263
768;dl;245
706;the;240
1462;deal;235
673;mulu;231
712;asih;230
196;tuh;228
1036;eror;227
2020;by;205
261;otp;189
1197;log;187
862;ku;180
260;blanja;178
386;apl;175
1165;fre;172
1218;perhati;167
284;mah;165
901;push;156
367;sms;153
751;rp;143
1544;pasuk;142
316;pengin;141
372;vocer;138
569;dah;138
994;ful;135
1741;amin;130
1264;bos;128
5230;geti;126
738;kait;119
3357;an;107
841;situ;106
1934;out;106
3470;gan;105
2152;kalap;101
1083;ram;95
102;wa;95
552;tera;94
705;is;90
2039;ane;89
606;ijo;87
903;e;87
89;loh;86
657;indak;85
940;lu;81
2572;balikin;81
1269;cal;79
4226;batu;78
420;ah;77
236;tahi;77
60;payleter;77
592;al;76
4720;tele;76
1443;aduh;72
1663;sok;70
1276;tks;70
1234;pajang;70
3336;ngisi;68
85;dar;68
3274;tf;67
3050;hehe;65
207;sila;64
961;sip;62
1474;terimah;61
418;oren;61
502;bolak;61
2435;set;61
1942;rek;59
2084;itu;59
1206;lai;57
423;lampir;57
4521;academi;56
2341;pasu;56
2052;ecek;56
5638;jos;55
2251;overal;55
2612;belit;54
792;byr;54
2434;a;53
142;cakap;53
2600;verivikasi;53
2186;alhamdulilah;51
4332;lo;51
2432;mes;49
3635;hi;48
1826;depa;48
520;kau;47
931;kwalitas;47
4887;brng;46
913;nge;45
715;pes;45
257;naikin;44
6705;and;44
4319;i;44
603;segitu;44
3618;mei;44
4036;dasbor;44
790;april;43
1441;melulu;43
285;allah;43
2008;markotop;42
4127;hehehe;42
3824;nila;42
1519;bel;42
2215;agam;41
2646;hape;41
3856;brang;41
1448;bro;41
4015;yuk;41
6555;bye;40
1389;tlong;39
1876;ter;39
1890;ber;39
1887;hadeh;38
3919;nongol;38
4520;lanjur;38
1794;poto;38
3109;bot;38
4921;casback;38
3306;kapai;37
1570;seler;37
2048;mikir;37
1772;omong;37
1901;sen;37
4331;kudu;36
6872;buru;36
981;orisinal;35
1542;toped;35
799;asa;35
1938;kelar;35
3977;tq;34
4981;lho;34
990;dngn;34
1926;ol;34
515;aco;33
54;kalang;33
842;grab;33
711;-;33
4657;fahami;31
4174;mu;31
6561;bang;31
675;ig;30
4805;sangan;30
4888;byar;30
3446;trx;30
2593;pop;30
1843;tv;30
1627;kes;29
809;ruwet;29
4804;mas;28
2078;ui;28
3985;sia;28
2443;id;28
5963;titik;28
3821;woy;28
4978;halu;27
6665;dpet;27
1013;asu;27
1144;bayak;27
2197;diinstal;27
4004;iming;27
5748;trmksh;27
2516;thr;27
1191;mal;27
6510;wow;27
3223;hm;26
1283;seharihari;26
2127;scrol;26
1302;nik;26
407;musti;26
1605;sd;26
3851;was;26
6921;sayasaya;25
1351;of;25
4995;belnja;25
7345;progam;25
3392;bantuanya;25
1802;mhon;25
4564;aplikasih;25
4009;lola;24
3625;spek;24
5945;ting;24
2014;konek;24
1096;ajuin;24
2891;onlen;24
1349;anjir;23
1567;pt;23
1723;hrg;23
1988;responya;23
4314;si;23
3531;hrga;22
4734;loding;22
2371;kece;22
980;guys;22
2630;pc;21
5387;nang;21
6127;max;21
993;payletter;21
2396;va;21
626;mbak;21
2221;its;21
3830;wrwb;21
2282;inisaya;20
5556;esok;20
440;benarbenar;20
3948;for;20
3966;btw;20
5441;dwi;20
7696;tlpon;20
2384;terimkasih;20
2099;om;20
647;kocak;20
988;meng;20
6945;bla;20
2591;tida;19
2240;b;19
1847;aktip;19
5205;haha;19
532;nyuruh;19
2519;dpat;19
8051;rumahanumkm;19
2838;gb;19
1754;mp;19
9933;bukalapakskil;19
13419;albaasitu;18
